,trial_idx,agent_choices,choice_a0,choice_a1,better_choice,correct_a0,correct_a1,correct_choices,navigation_init_time,navigation_init_idx,navigation_end_time,observer,player,player_choice,observer_choice,poll_probs,prop_touched_polls,reaction_time,reward,reward_time,total_polls,touched_polls,trial_aborted,trial_duration,date_time
89,89,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1683051788.670534,122,5.499635934829712,1,0,-1,0,0.15,0.7,[1.2332768440246582],1.0,5.499635934829712,10,7,0,6.500131845474243,2023_05_02_14_23_05
90,90,[-1.0],-1.0,0,1.0,-1.0,0,[-1.0],1683051799.8203719,243,9.349416971206665,1,0,-1,0,0.0,0.6666666666666666,[3.2495570182800293],0.0,9.349416971206665,15,10,0,10.349202871322632,2023_05_02_14_23_14
91,91,[-1.0],-1.0,0,1.0,-1.0,0,[-1.0],1683051810.718962,107,7.082924842834473,1,0,-1,0,0.0,0.5333333333333333,[0.9831497669219971],0.0,7.082924842834473,15,8,0,8.082464933395386,2023_05_02_14_23_27
92,92,[1.0],1.0,0,1.0,1.0,0,[1.0],1683051821.5353441,108,3.266691207885742,1,0,1,0,0.15,1.0,[0.9997529983520508],1.0,3.266691207885742,4,4,0,4.265836238861084,2023_05_02_14_23_38
93,93,[1.0],1.0,0,1.0,1.0,0,[1.0],1683051828.3513541,107,2.5826449394226074,1,0,1,0,0.15,1.0,[0.9827029705047607],1.0,2.5826449394226074,2,2,0,3.582507848739624,2023_05_02_14_23_45
94,94,[1.0],1.0,0,1.0,1.0,0,[1.0],1683051834.450728,107,3.6328887939453125,1,0,1,0,0.15,1.0,[0.9828801155090332],1.0,3.6328887939453125,5,5,0,4.632710933685303,2023_05_02_14_23_51
95,95,[1.0],1.0,0,1.0,1.0,0,[1.0],1683051841.700688,109,2.3180861473083496,1,0,1,0,0.15,1.0,[1.0162181854248047],1.0,2.3180861473083496,1,1,0,3.317868947982788,2023_05_02_14_23_58
96,96,[1.0],1.0,0,1.0,1.0,0,[1.0],1683051849.033198,198,8.599471092224121,1,0,1,0,0.15,0.6666666666666666,[2.4995999336242676],0.0,8.599471092224121,15,10,0,9.598900079727173,2023_05_02_14_24_04
97,97,[-1.0],-1.0,0,1.0,-1.0,0,[-1.0],1683051862.049244,236,9.04970383644104,1,0,-1,0,0.0,0.4,[3.132840871810913],0.0,9.04970383644104,15,6,0,10.049341917037964,2023_05_02_14_24_17
98,98,[1.0],1.0,0,1.0,1.0,0,[1.0],1683051872.7651892,108,2.6330950260162354,1,0,1,0,0.15,0.5,[0.9999659061431885],1.0,2.6330950260162354,2,1,0,3.632761001586914,2023_05_02_14_24_29
99,99,[1.0],1.0,0,1.0,1.0,0,[1.0],1683051878.947815,108,2.6168770790100098,1,0,1,0,0.15,0.5,[1.0001041889190674],1.0,2.6168770790100098,2,1,0,3.6166372299194336,2023_05_02_14_24_36
100,100,[1.0],1.0,0,1.0,1.0,0,[1.0],1683051885.097121,107,6.882958889007568,1,0,1,0,0.15,0.9333333333333333,[0.9836511611938477],0.0,6.882958889007568,15,14,0,7.8825390338897705,2023_05_02_14_24_42
101,101,[1.0],1.0,0,1.0,1.0,0,[1.0],1683051896.1134121,133,4.383095026016235,1,0,1,0,0.15,0.6666666666666666,[1.4164531230926514],1.0,4.383095026016235,6,4,0,5.3827550411224365,2023_05_02_14_24_52
102,102,[1.0],1.0,0,1.0,1.0,0,[1.0],1683051904.7631779,172,8.166132926940918,1,0,1,0,0.15,0.6666666666666666,[2.066558837890625],0.0,8.166132926940918,15,10,0,9.165771007537842,2023_05_02_14_25_00
103,103,[1.0],1.0,0,1.0,1.0,0,[1.0],1683051916.162498,141,3.8008041381835938,1,0,1,0,0.15,0.5,[1.5495500564575195],1.0,3.8008041381835938,4,2,0,4.801403284072876,2023_05_02_14_25_12
104,104,[1.0],1.0,0,1.0,1.0,0,[1.0],1683051922.995376,109,3.249638795852661,1,0,1,0,0.15,0.75,[1.016617774963379],1.0,3.249638795852661,4,3,0,4.266211748123169,2023_05_02_14_25_20
105,105,[1.0],1.0,0,-1.0,-1.0,0,[-1.0],1683051929.877511,112,7.032716989517212,1,0,1,0,0.0,0.8,[1.0667510032653809],0.0,7.032716989517212,15,12,0,8.03255009651184,2023_05_02_14_25_26
106,106,[1.0],1.0,0,-1.0,-1.0,0,[-1.0],1683051940.560905,108,7.09991979598999,1,0,1,0,0.0,0.5333333333333333,[0.9999387264251709],0.0,7.09991979598999,15,8,0,8.099489688873291,2023_05_02_14_25_37
107,107,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1683051951.3596969,108,4.582888126373291,1,0,-1,0,0.15,0.875,[0.9997689723968506],1.0,4.582888126373291,8,7,0,5.599145174026489,2023_05_02_14_25_48
108,108,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1683051959.542758,107,5.265307903289795,1,0,-1,0,0.15,0.8,[0.9821479320526123],1.0,5.265307903289795,10,8,0,6.26488184928894,2023_05_02_14_25_56
109,109,[-1.0],-1.0,0,-1.0,1.0,0,[1.0],1683051968.4587488,107,7.083220958709717,1,0,-1,0,0.15,0.7333333333333333,[0.9833788871765137],0.0,7.083220958709717,15,11,0,8.082130908966064,2023_05_02_14_26_05
