,agent_choices,choice_a0,choice_a1,better_choice,choice_reactionT,confidence,confidence_reactionT,correct_choices,correct_a0,correct_a1,navigation_duration,navigation_init_time,observer,observer_choice,player,player_choice,prop_touched_polls,reward,total_polls,touched_polls,trial_aborted
437,"[-1.0, 0.0]",-1.0,0.0,1.0,"[0.10002493858337402, -1628434302.598717]","[2.0, 0.0]","[0.633044958114624, -1628434302.598717]","[0.0, 0.0]",0.0,0.0,4.749515056610107,1628434303.231762,1,0,0,-1,0.4,0.0,15,6,0
438,"[-1.0, 0.0]",-1.0,0.0,1.0,"[0.3144948482513428, -1628434309.1838322]","[2.0, 0.0]","[0.7478048801422119, -1628434309.1838322]","[0.0, 0.0]",0.0,0.0,4.7497358322143555,1628434309.931637,1,0,0,-1,0.8666666666666667,0.0,15,13,0
439,"[-1.0, 0.0]",-1.0,0.0,1.0,"[0.0, -1628434315.7823958]","[2.0, 0.0]","[0.41591405868530273, -1628434315.7823958]","[0.0, 0.0]",0.0,0.0,4.749530076980591,1628434316.19831,1,0,0,-1,0.6,0.0,15,9,0
440,"[1.0, 0.0]",1.0,0.0,1.0,"[0.09919905662536621, -1628434321.866091]","[1.0, 0.0]","[0.5321378707885742, -1628434321.866091]","[1.0, 0.0]",1.0,0.0,2.6495492458343506,1628434322.398229,1,0,0,1,0.8,1.0,5,4,0
441,"[1.0, 0.0]",1.0,0.0,1.0,"[0.032063961029052734, -1628434325.949692]","[4.0, 0.0]","[0.2817509174346924, -1628434325.949692]","[1.0, 0.0]",1.0,0.0,1.882878065109253,1628434326.231443,1,0,0,1,1.0,1.0,1,1,0
442,"[1.0, 0.0]",1.0,0.0,1.0,"[1.3156309127807617, -1628434329.03251]","[4.0, 0.0]","[1.5647499561309814, -1628434329.03251]","[1.0, 0.0]",1.0,0.0,3.65035080909729,1628434330.59726,1,0,0,1,0.5,1.0,10,5,0
443,"[1.0, 0.0]",1.0,0.0,1.0,"[0.06600403785705566, -1628434335.115795]","[4.0, 0.0]","[0.5988779067993164, -1628434335.115795]","[1.0, 0.0]",1.0,0.0,3.8828532695770264,1628434335.7146728,1,0,0,1,0.8181818181818182,1.0,11,9,0
444,"[1.0, 0.0]",1.0,0.0,1.0,"[0.01612710952758789, -1628434340.6994638]","[4.0, 0.0]","[0.6818430423736572, -1628434340.6994638]","[1.0, 0.0]",1.0,0.0,2.866168975830078,1628434341.381307,1,0,0,1,0.6666666666666666,1.0,6,4,0
445,"[1.0, 0.0]",1.0,0.0,1.0,"[0.0, -1628434345.282753]","[4.0, 0.0]","[0.8145148754119873, -1628434345.282753]","[1.0, 0.0]",1.0,0.0,4.749613046646118,1628434346.0972679,1,0,0,1,0.4666666666666667,0.0,15,7,0
446,"[1.0, 0.0]",1.0,0.0,1.0,"[3.3819518089294434, -1628434351.882441]","[3.0, 0.0]","[4.498533010482788, -1628434351.882441]","[1.0, 0.0]",1.0,0.0,4.749508857727051,1628434356.380974,1,0,0,1,0.6666666666666666,0.0,15,10,0
447,"[1.0, 0.0]",1.0,0.0,-1.0,"[0.3157808780670166, -1628434362.481904]","[3.0, 0.0]","[0.6822690963745117, -1628434362.481904]","[0.0, 0.0]",0.0,0.0,4.749589920043945,1628434363.1641731,1,0,0,1,0.6,0.0,15,9,0
448,"[1.0, 0.0]",1.0,0.0,-1.0,"[0.38245296478271484, -1628434369.081652]","[3.0, 0.0]","[0.7824420928955078, -1628434369.081652]","[0.0, 0.0]",0.0,0.0,4.7496178150177,1628434369.864094,1,0,0,1,0.6666666666666666,0.0,15,10,0
449,"[1.0, 0.0]",1.0,0.0,-1.0,"[0.017236948013305664, -1628434375.681376]","[2.0, 0.0]","[0.465939998626709, -1628434375.681376]","[0.0, 0.0]",0.0,0.0,4.749659776687622,1628434376.147316,1,0,0,1,0.7333333333333333,0.0,15,11,0
450,"[1.0, 0.0]",1.0,0.0,-1.0,"[0.3828883171081543, -1628434381.7810738]","[2.0, 0.0]","[1.3995132446289062, -1628434381.7810738]","[0.0, 0.0]",0.0,0.0,4.7495129108428955,1628434383.180587,1,0,0,1,0.6666666666666666,0.0,15,10,0
451,"[1.0, 0.0]",1.0,0.0,-1.0,"[0.0, -1628434388.8644989]","[2.0, 0.0]","[0.6160602569580078, -1628434388.8644989]","[0.0, 0.0]",0.0,0.0,4.748810052871704,1628434389.480559,1,0,0,1,0.4666666666666667,0.0,15,7,0
452,"[-1.0, 0.0]",-1.0,0.0,-1.0,"[0.016041994094848633, -1628434395.448159]","[1.0, 0.0]","[0.34895992279052734, -1628434395.448159]","[1.0, 0.0]",1.0,0.0,3.2652361392974854,1628434395.797119,1,0,0,-1,1.0,1.0,8,8,0
