,Outcome,Performance,Performance_numerical,Gates_touched_total,Switches,Objective_switches,Condition,Reaction_time,Corrects,Pos_in_block,trial_idx,subject,date
629,1R,Med,11.0,11.0,0.0,0.0,Observer,0.9998726844787598,1.0,6.0,981.0,Lalo,20230828
630,1R,Low,2.0,2.0,0.0,0.0,Actor,1.1995398998260498,1.0,7.0,982.0,Lalo,20230828
631,1R,Low,6.0,6.0,0.0,1.0,Observer,3.316448926925659,-1.0,8.0,983.0,Lalo,20230828
632,1R,Low,3.0,3.0,0.0,0.0,Observer-incongruent,1.050278902053833,1.0,0.0,987.0,Lalo,20230828
633,1R,Low,4.0,4.0,0.0,0.0,Actor,1.0324077606201172,1.0,2.0,989.0,Lalo,20230828
634,1R,Low,8.0,8.0,0.0,0.0,Observer,1.651261806488037,1.0,3.0,990.0,Lalo,20230828
635,1R,Low,2.0,2.0,0.0,0.0,Observer,1.083331823348999,1.0,4.0,991.0,Lalo,20230828
636,1R,Low,2.0,2.0,0.0,0.0,Actor,1.0328779220581055,1.0,5.0,992.0,Lalo,20230828
637,1R,Low,8.0,8.0,0.0,0.0,Observer,1.1337711811065674,1.0,6.0,993.0,Lalo,20230828
638,1R,Med,9.0,9.0,0.0,0.0,Actor,1.049638032913208,1.0,7.0,994.0,Lalo,20230828
639,1R,Low,1.0,1.0,0.0,0.0,Observer,1.133594036102295,1.0,8.0,995.0,Lalo,20230828
640,1R,Low,1.0,1.0,0.0,0.0,Observer,1.0008409023284912,1.0,9.0,996.0,Lalo,20230828
641,1R,Low,7.0,7.0,0.0,1.0,Actor,1.166128158569336,-1.0,11.0,998.0,Lalo,20230828
642,1R,Low,2.0,2.0,0.0,0.0,Actor,1.1661691665649414,1.0,0.0,1001.0,Lalo,20230828
643,1R,Med,10.0,10.0,0.0,0.0,Observer,1.0490312576293945,1.0,1.0,1002.0,Lalo,20230828
644,1R,Low,1.0,1.0,0.0,0.0,Actor,0.9996271133422852,1.0,2.0,1003.0,Lalo,20230828
645,1R,Low,4.0,4.0,0.0,0.0,Actor,1.0490219593048096,1.0,3.0,1004.0,Lalo,20230828
646,1R,Low,6.0,6.0,0.0,0.0,Observer,3.2993369102478027,1.0,6.0,1007.0,Lalo,20230828
647,1R,Low,3.0,3.0,0.0,0.0,Actor,1.1671111583709717,1.0,7.0,1008.0,Lalo,20230828
648,1R,Med,11.0,11.0,0.0,1.0,Observer,1.5330681800842285,-1.0,8.0,1009.0,Lalo,20230828
649,1R,Low,6.0,6.0,0.0,0.0,Actor,1.0497610569000244,1.0,0.0,1014.0,Lalo,20230828
650,1R,Low,2.0,2.0,0.0,0.0,Actor,1.116095781326294,1.0,2.0,1016.0,Lalo,20230828
651,1R,Low,7.0,7.0,0.0,0.0,Observer,1.0828580856323242,1.0,3.0,1017.0,Lalo,20230828
652,1R,Low,3.0,3.0,0.0,0.0,Observer,1.066890001296997,1.0,4.0,1018.0,Lalo,20230828
653,1R,Low,4.0,4.0,0.0,0.0,Actor,1.0163869857788086,1.0,5.0,1019.0,Lalo,20230828
654,1R,Low,6.0,6.0,0.0,0.0,Observer,1.082901954650879,1.0,6.0,1020.0,Lalo,20230828
655,1R,Low,5.0,5.0,0.0,0.0,Actor,1.1837999820709229,1.0,7.0,1021.0,Lalo,20230828
656,1R,Low,3.0,3.0,0.0,1.0,Observer,1.7830908298492432,-1.0,8.0,1022.0,Lalo,20230828
657,1R,Low,2.0,2.0,0.0,0.0,Actor,1.666414737701416,1.0,0.0,1026.0,Lalo,20230828
658,1R,Low,2.0,2.0,0.0,0.0,Observer,1.0328471660614014,1.0,1.0,1027.0,Lalo,20230828
659,1R,Low,3.0,3.0,0.0,0.0,Observer,2.0995430946350098,1.0,2.0,1028.0,Lalo,20230828
660,1R,Low,4.0,4.0,1.0,0.0,Observer,4.883168935775757,-1.0,3.0,1029.0,Lalo,20230828
661,1R,Low,6.0,6.0,0.0,0.0,Observer-incongruent,1.7167747020721436,1.0,4.0,1030.0,Lalo,20230828
662,1R,Low,3.0,3.0,0.0,0.0,Actor,1.2171449661254883,1.0,5.0,1031.0,Lalo,20230828
663,1R,Low,1.0,1.0,0.0,0.0,Actor,1.8324759006500244,1.0,7.0,1033.0,Lalo,20230828
664,1R,Low,2.0,2.0,0.0,0.0,Actor,1.0327861309051514,1.0,8.0,1034.0,Lalo,20230828
665,1R,Med,10.0,10.0,0.0,0.0,Observer,2.8504910469055176,1.0,9.0,1035.0,Lalo,20230828
666,1R,Low,2.0,2.0,0.0,1.0,Observer,1.6991019248962402,-1.0,10.0,1036.0,Lalo,20230828
667,1R,Low,3.0,3.0,0.0,0.0,Observer,1.0666172504425049,1.0,0.0,1039.0,Lalo,20230828
668,1R,Low,3.0,3.0,0.0,0.0,Observer,2.2334179878234863,1.0,1.0,1040.0,Lalo,20230828
669,1R,Low,2.0,2.0,0.0,0.0,Observer,3.015928030014038,1.0,2.0,1041.0,Lalo,20230828
670,1R,Low,2.0,2.0,0.0,0.0,Observer,0.9831180572509766,1.0,3.0,1042.0,Lalo,20230828
